2025-12-06 17:34:54.066 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-06 17:34:54.420 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2025-12-06 17:34:54.421 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 3
2025-12-06 17:34:54.421 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2025-12-06 17:34:54.422 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2025-12-06 17:34:54.422 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2025-12-06 17:34:54.422 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2025-12-06 17:34:54.615 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-boombarrier, title=ch12-mcp-server-stdio-boombarrier, version=1.0.0]
2025-12-06 17:34:54.826 INFO  [main] com.example.demo.DemoApplication - Started DemoApplication in 1.837 seconds (process running for 2.635)
2025-12-06 17:36:35.333 INFO  [boundedElastic-1] com.example.demo.tool.CarCheckTools - LLM이 인식한 차량 번호: 234가5678
2025-12-06 17:36:36.405 INFO  [boundedElastic-1] c.example.demo.tool.BoomBarrierTools - 차단기를 내립니다.
2025-12-31 11:44:39.878 INFO  [main] com.example.demo.DemoApplication - Starting DemoApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 46316 (D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-boombarrier\build\libs\ch12-mcp-server-stdio-boombarrier-0.0.1-SNAPSHOT.jar started by blueskii in D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-application)
2025-12-31 11:44:39.880 INFO  [main] com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-31 11:44:40.489 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:44:40.491 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:44:40.491 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:44:40.833 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2025-12-31 11:44:40.835 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 3
2025-12-31 11:44:40.835 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2025-12-31 11:44:40.835 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2025-12-31 11:44:40.836 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2025-12-31 11:44:40.836 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2025-12-31 11:44:41.022 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-boombarrier, title=ch12-mcp-server-stdio-boombarrier, version=1.0.0]
2025-12-31 11:44:41.236 INFO  [main] com.example.demo.DemoApplication - Started DemoApplication in 1.778 seconds (process running for 2.544)
2025-12-31 11:45:52.145 INFO  [boundedElastic-1] com.example.demo.tool.CarCheckTools - LLM이 인식한 차량 번호: 345가6789
2025-12-31 11:45:53.064 INFO  [boundedElastic-1] c.example.demo.tool.BoomBarrierTools - 차단기를 올립니다.
2025-12-31 11:56:53.824 INFO  [main] com.example.demo.DemoApplication - Starting DemoApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 31684 (D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-boombarrier\build\libs\ch12-mcp-server-stdio-boombarrier-0.0.1-SNAPSHOT.jar started by blueskii in D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-application)
2025-12-31 11:56:53.828 INFO  [main] com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-31 11:56:54.442 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:56:54.442 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:56:54.447 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:56:54.790 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2025-12-31 11:56:54.791 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 3
2025-12-31 11:56:54.791 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2025-12-31 11:56:54.791 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2025-12-31 11:56:54.791 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2025-12-31 11:56:54.792 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2025-12-31 11:56:54.983 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-boombarrier, title=ch12-mcp-server-stdio-boombarrier, version=1.0.0]
2025-12-31 11:56:55.185 INFO  [main] com.example.demo.DemoApplication - Started DemoApplication in 1.781 seconds (process running for 2.548)
2026-01-24 17:24:16.589 INFO  [main] com.example.demo.DemoApplication - Starting DemoApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 34528 (D:\Work\ai\spring-ai\출판\소스\projects\ch12-mcp-server-stdio-boombarrier\build\libs\ch12-mcp-server-stdio-boombarrier-0.0.1-SNAPSHOT.jar started by blueskii in D:\Work\ai\spring-ai\출판\소스\projects\ch12-mcp-server-stdio-application)
2026-01-24 17:24:16.593 INFO  [main] com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-24 17:24:17.235 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-01-24 17:24:17.237 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-01-24 17:24:17.248 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-01-24 17:24:17.620 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-01-24 17:24:17.621 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 3
2026-01-24 17:24:17.621 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-01-24 17:24:17.621 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-01-24 17:24:17.621 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-01-24 17:24:17.622 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-01-24 17:24:17.829 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-boombarrier, title=ch12-mcp-server-stdio-boombarrier, version=1.0.0]
2026-01-24 17:24:17.995 INFO  [main] com.example.demo.DemoApplication - Started DemoApplication in 1.814 seconds (process running for 2.603)
2026-01-24 17:24:48.437 INFO  [boundedElastic-1] com.example.demo.tool.CarCheckTools - LLM이 인식한 차량 번호: 23가4567
2026-01-24 17:24:50.352 INFO  [boundedElastic-1] c.example.demo.tool.BoomBarrierTools - 차단기를 올립니다.
2026-01-24 17:34:00.191 INFO  [main] com.example.demo.DemoApplication - Starting DemoApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 33220 (D:\Work\ai\spring-ai\출판\소스\projects\ch12-mcp-server-stdio-boombarrier\build\libs\ch12-mcp-server-stdio-boombarrier-0.0.1-SNAPSHOT.jar started by blueskii in D:\Work\ai\spring-ai\출판\소스\projects\ch12-mcp-server-stdio-application)
2026-01-24 17:34:00.193 INFO  [main] com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-24 17:34:00.854 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-01-24 17:34:00.855 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
